Ri,Enclosure,Nr 52.2,Nr 52.4,Nr 52.7,Nr 52.11,Nr 60.2,Nr 60.5,Nr 60.11,Nr 60.34,Years Since,Fires
R1,41A_n,45,31,17,30,19,19,18,17,7,3
R2,41A_n,38,26,25,48,21,14,28,14,7,3
R3,41A_n,39,25,17,44,25,16,15,24,7,3
R4,41A_n,41,27,17,47,23,15,14,34,7,3
R5,41A_n,40,25,25,51,25,15,13,51,7,3
R6,41A_n,46,27,25,38,26,9,24,45,7,3
R7,41A_n,40,26,15,47,19,13,23,15,7,3
R8,41A_n,40,26,19,49,21,12,18,18,7,3
R9,41A_n,30,15,15,34,25,16,23,20,7,3
R10,41A_n,35,25,27,7,28,13,13,18,7,3
R11,41A_w,40,14,27,49,19,13,15,43,7,3
R12,41A_w,36,25,29,49,36,13,23,47,7,3
R13,41A_w,40,27,22,44,26,13,17,14,7,3
R14,41A_w,46,27,29,45,19,12,13,46,7,3
R15,41A_w,44,20,15,47,19,10,10,19,7,3
R16,41A_w,46,22,17,43,26,18,22,14,7,3
R17,41A_w,35,30,19,43,36,16,13,30,7,3
R18,41A_w,35,27,17,44,26,8,17,20,7,3
R19,41A_w,40,24,19,63,26,17,27,17,7,3
R20,41A_w,39,27,25,49,16,13,18,14,7,3
R21,41A_w,33,21,21,39,25,16,19,18,7,3
R22,41A_w,44,20,17,39,14,13,20,26,7,3
R23,43A_e,32,22,17,47,21,15,26,16,10,3
R24,43A_e,39,21,19,45,19,7,13,15,10,3
R25,43A_e,42,22,19,45,26,21,17,17,10,3
R26,43A_e,34,26,23,45,21,4,15,20,10,3
R27,43A_e,40,27,23,44,21,14,17,20,10,3
R28,43A_e,32,23,23,44,29,14,10,20,10,3
R29,43A_e,38,28,23,42,21,10,9,42,10,3
R30,43A_e,38,19,21,44,19,27,26,24,10,3
R31,43A_e,27,22,15,48,15,5,14,21,10,3
R32,43A_e,41,19,19,44,25,10,13,40,10,3
R33,43A_e,40,23,13,50,22,14,10,16,10,3
R34,43A_e,40,27,23,43,21,18,15,20,10,3
R35,43A_e,36,23,13,44,17,18,18,20,10,3
R36,43A_e,39,27,19,44,19,13,18,16,10,3
R37,43A_e,40,23,23,44,19,14,13,20,10,3
R38,43A_n,38,27,15,44,19,16,25,17,10,3
R39,43A_n,38,14,15,47,16,10,22,14,10,3
R40,43A_n,38,27,27,38,24,19,5,17,10,3
R41,43A_n,38,30,17,43,21,14,17,20,10,3
R42,43A_n,40,27,15,44,19,16,14,17,10,3
R43,43A_n,40,27,24,45,16,18,15,23,10,3
R44,44_e,40,22,19,42,33,19,14,14,20,1
R45,44_e,27,27,17,44,15,14,13,10,20,1
R46,44_e,27,18,17,43,23,18,10,23,20,1
R47,44_e,43,27,29,41,19,12,24,32,20,1
R48,44_e,39,27,19,50,25,10,14,14,20,1
R49,44_e,39,25,23,42,30,19,18,23,20,1
R50,44_e,36,26,21,49,28,31,24,10,20,1
R51,44_e,40,27,25,38,28,13,24,11,20,1
R52,44_e,38,24,21,37,28,13,14,18,20,1
R53,44_e,45,25,29,49,16,15,22,10,20,1
R54,44_e,43,21,17,34,18,12,14,23,20,1
R55,44_e,43,21,19,29,22,12,14,12,20,1
R56,44_e,44,27,21,38,16,13,15,23,20,1
R57,44_e,33,26,15,43,20,17,11,34,20,1
R58,44_e,39,21,17,44,22,12,14,23,20,1
R59,44_e,39,27,19,29,22,12,14,12,20,1
R60,44_e,44,27,19,49,38,25,12,62,20,1
R61,44_e,39,21,17,49,35,17,14,60,20,1
R62,44_e,36,25,21,49,28,13,22,13,20,1
R63,44_e,40,20,29,42,27,18,24,10,20,1
R64,44_e,20,27,19,42,32,16,14,23,20,1
R65,44_e,38,26,17,48,27,13,11,23,20,1
R66,44_e,40,27,19,29,32,23,14,59,20,1
R67,44_e,37,26,17,49,26,23,18,10,20,1
R68,44_e,40,25,25,51,30,18,13,23,20,1
R69,44_e,38,21,15,48,23,12,9,15,20,1
R70,44_e,34,19,25,39,17,13,14,11,20,1
R71,44_e,39,24,29,68,18,10,22,11,20,1
R72,44_e,36,25,17,50,25,17,23,61,20,1
R73,44_e,46,23,23,46,18,15,13,29,20,1
R74,44_e,47,25,23,42,30,16,12,23,20,1
R75,44_e,44,27,25,38,28,14,12,23,20,1
R76,44_e,43,19,10,45,22,12,12,25,20,1
R77,44_e,40,31,21,42,33,15,15,23,20,1
R78,44_e,44,26,19,42,22,17,24,23,20,1
R79,44_e,40,26,21,37,27,16,12,23,20,1
R80,44_e,40,21,29,61,30,16,22,11,20,1
R81,44_e,25,27,22,39,19,16,15,17,20,1
R82,44_e,39,25,29,50,30,15,14,11,20,1
R83,44_e,44,27,19,29,15,12,14,12,20,1
R84,44_n,44,22,19,44,26,12,15,27,20,1
R85,44_n,45,18,17,49,25,12,18,17,20,1
R86,44_n,39,25,19,41,30,6,14,24,20,1
R87,44_n,40,21,19,29,26,15,14,56,20,1
R88,44_n,40,25,19,41,25,14,16,17,20,1
R89,44_n,37,27,29,41,22,18,20,27,20,1
R90,44_n,43,26,29,40,15,12,15,5,20,1
R91,44_n,48,20,25,47,22,14,13,26,20,1
R92,44_n,44,20,29,32,22,13,13,22,20,1
R93,44_n,20,27,25,41,33,12,21,27,20,1
R94,44_n,48,20,29,44,18,17,20,22,20,1
R95,44_n,37,27,29,41,22,18,19,22,20,1
R96,44_n,40,26,17,52,30,17,25,11,20,1
R97,44_n,37,27,19,30,19,15,25,67,20,1
R98,44_n,42,24,17,41,26,5,11,15,20,1
R99,44_n,41,27,17,57,19,17,15,27,20,1
R100,44_n,46,25,19,34,28,14,15,27,20,1
R101,44_n,40,29,17,53,30,14,14,70,20,1
R102,44_n,42,27,17,82,25,18,10,27,20,1
R103,44_n,45,21,23,44,16,19,8,25,20,1
R104,44_n,49,32,22,42,18,23,13,20,20,1
R105,44_n,36,26,21,38,28,11,33,20,20,1
R106,44_n,30,15,19,47,30,15,27,24,20,1
R107,44_n,42,26,17,41,28,17,20,27,20,1
R108,44_n,43,25,17,28,25,7,15,15,20,1
R109,44_n,49,25,17,41,29,15,28,27,20,1
R110,44_s,45,21,17,43,22,12,13,10,25,1
R111,44_s,38,27,21,39,16,15,23,15,25,1
R112,44_s,44,23,21,54,24,12,14,21,25,1
R113,44_s,43,26,23,44,17,16,14,20,25,1
R114,44_s,41,26,23,86,21,17,10,19,25,1
R115,44_s,43,26,19,42,18,19,13,42,25,1
R116,44_s,14,29,23,51,17,12,13,23,25,1
R117,44_s,43,23,11,38,32,10,15,17,25,1
R118,44_s,37,29,19,44,21,12,23,20,25,1
R119,44_s,39,26,19,42,23,19,10,22,25,1
R120,44_s,45,21,17,42,22,12,18,10,25,1
R121,44_s,45,25,21,52,21,11,24,30,25,1
R122,44_s,44,25,23,44,27,19,14,35,25,1
R123,44_s,36,23,15,43,31,11,14,30,25,1
R124,44_s,41,26,23,47,24,12,12,20,25,1
R125,44_s,44,25,15,46,19,17,15,35,25,1
R126,44_s,43,26,9,43,17,17,23,10,25,1
R127,44_s,44,26,20,46,28,11,13,20,25,1
R128,44_s,44,29,23,50,21,17,15,35,25,1
R129,44_s,39,23,17,41,16,19,13,10,25,1
R130,46_e,54,21,21,49,21,21,12,14,8,3
R131,46_e,46,24,21,50,18,18,14,29,8,3
R132,46_e,36,27,16,36,33,19,12,18,8,3
R133,46_e,42,11,23,43,18,13,12,11,8,3
R134,46_e,36,21,17,41,18,4,24,27,8,3
R135,46_e,46,27,24,49,21,21,23,11,8,3
R136,46_e,41,26,15,43,23,15,13,33,8,3
R137,46_n,40,27,27,48,19,15,24,12,8,4
R138,46_n,43,28,25,47,22,15,14,18,8,4
R139,46_n,34,15,19,36,26,19,11,11,8,4
R140,46_n,43,25,13,44,24,19,24,34,8,4
R141,46_n,36,26,21,49,23,16,20,46,8,4
R142,46_n,43,19,21,45,37,13,12,31,8,4
R143,46_n,38,31,17,44,22,12,15,27,8,4
R144,48B_e,31,34,25,37,26,16,15,26,10,2
R145,48B_e,38,28,17,54,25,6,18,60,10,2
R146,48B_e,36,28,19,40,18,13,12,13,10,2
R147,48B_e,34,26,15,53,15,13,13,22,10,2
R148,48B_e,40,27,21,49,16,13,12,59,10,2
R149,48B_e,11,20,19,43,20,16,13,22,10,2
R150,48B_e,32,34,15,36,15,12,14,22,10,2
R151,48B_e,40,33,15,37,36,9,12,58,10,2
R152,48B_e,14,27,21,43,16,13,19,11,10,2
R153,48B_e,34,22,25,38,16,16,14,26,10,2
R154,48B_e,44,25,21,75,24,13,19,10,10,2
R155,48B_s,40,31,15,42,25,22,13,26,10,2
R156,48B_s,38,14,17,41,23,13,15,17,10,2
R157,48B_s,47,25,19,54,16,17,18,56,10,2
R158,48B_s,40,21,21,49,17,31,20,31,10,2
R159,48B_s,43,31,15,42,16,13,15,17,10,2
R160,48B_s,39,27,15,41,16,19,14,32,10,2
R161,48B_s,39,30,15,41,26,19,14,26,10,2
R162,48B_s,48,23,18,41,23,13,14,11,10,2
R163,48B_s,23,27,25,47,16,16,13,27,10,2
R164,48B_s,42,31,11,39,18,13,13,35,10,2
R165,54B_e,41,24,21,39,16,12,13,20,5,3
R166,54B_e,41,25,9,29,18,16,14,26,5,3
R167,54B_e,41,24,13,49,18,12,12,72,5,3
R168,54B_e,41,25,7,41,16,18,13,27,5,3
R169,54B_e,41,24,17,29,18,12,15,12,5,3
R170,54B_e,38,25,21,40,23,12,15,53,5,3
R171,54B_e,41,26,15,38,17,12,12,10,5,3
R172,54B_e,42,26,29,29,16,12,19,12,5,3
R173,54B_e,41,22,17,39,16,15,18,27,5,3
R174,54B_e,42,19,19,37,27,6,25,28,5,3
R175,54B_e,40,17,25,46,17,12,18,9,5,3
R176,54B_e,39,24,25,29,16,12,18,66,5,3
R177,54B_e,42,24,29,29,18,12,12,11,5,3
R178,54B_e,39,26,29,29,31,28,20,12,5,3
R179,54B_e,40,24,29,29,27,18,13,66,5,3
R180,54B_e,42,24,25,30,31,18,20,67,5,3
R181,54B_e,45,21,29,42,26,11,14,9,5,3
R182,54B_e,38,25,23,38,27,12,17,27,5,3
R183,54B_e,40,24,21,36,17,18,13,11,5,3
R184,54B_e,22,20,25,35,18,19,11,54,5,3
R185,54B_e,42,26,29,1,18,12,13,11,5,3
R186,54B_e,49,28,13,39,23,11,22,68,5,3
R187,54B_e,42,25,23,51,22,12,13,54,5,3
R188,54B_e,36,20,19,44,23,12,17,11,5,3
R189,54B_e,34,26,25,33,28,15,21,30,5,3
R190,54B_e,40,26,25,29,28,12,21,11,5,3
R191,54B_e,34,27,23,29,23,19,15,30,5,3
R192,54B_e,42,26,29,30,28,18,25,11,5,3
R193,54B_w,40,17,25,29,18,12,18,51,5,3
R194,54B_w,39,29,17,42,18,14,18,14,5,3
R195,54B_w,42,11,25,42,17,4,18,4,5,3
R196,54B_w,40,11,23,37,15,5,20,53,5,3
R197,54B_w,41,24,21,47,17,12,18,51,5,3
R198,54B_w,44,27,17,53,22,17,23,21,5,3
R199,54B_w,40,11,21,46,18,12,18,51,5,3
R200,54B_w,37,20,25,30,20,12,12,11,5,3
R201,54B_w,38,28,16,42,18,14,17,51,5,3
R202,54B_w,48,19,17,24,16,14,18,9,5,3
R203,54B_w,40,29,17,42,14,14,18,51,5,3
R204,56B_n,43,20,21,50,16,19,14,22,10,2
R205,56B_n,42,26,27,41,16,16,20,22,10,2
R206,56B_n,36,25,16,46,20,17,17,29,10,2
R207,56B_n,26,15,17,47,17,12,23,11,10,2
R208,56B_n,42,24,21,49,17,18,14,15,10,2
R209,56B_n,16,26,19,41,17,15,22,10,10,2
R210,56B_n,47,25,23,40,16,24,22,17,10,2
R211,56B_n,44,27,21,49,18,20,23,21,10,2
R212,56B_n,41,17,23,46,29,23,7,22,10,2
R213,56B_n,43,24,21,49,27,14,14,52,10,2
R214,56B_n,41,25,21,44,28,15,20,12,10,2
R215,56B_n,34,21,17,37,16,17,12,63,10,2
R216,56B_n,39,24,21,42,22,13,24,16,10,2
R217,56B_s,41,18,15,41,20,18,17,11,10,3
R218,56B_s,21,26,7,41,34,8,15,23,10,3
R219,56B_s,41,19,21,41,20,18,23,14,10,3
R220,56B_s,57,23,23,28,16,14,20,20,10,3
R221,56B_s,42,18,15,45,16,18,20,33,10,3
R222,56B_s,16,26,21,47,14,13,13,32,10,3
R223,56B_s,8,18,15,48,16,18,20,36,10,3
R224,56B_s,44,26,21,47,26,12,20,20,10,3
R225,56B_s,38,24,19,44,17,20,13,67,10,3
R226,56B_s,39,25,21,41,16,8,20,13,10,3
R227,58E_e,44,22,19,47,19,13,12,15,16,1
R228,58E_e,45,27,21,46,15,19,13,29,16,1
R229,58E_e,42,30,23,34,19,13,17,15,16,1
R230,58E_e,38,27,23,46,27,23,17,29,16,1
R231,58E_e,40,22,19,47,18,12,19,20,16,1
R232,58E_e,29,25,27,44,16,12,12,46,16,1
R233,58E_e,42,22,25,54,16,21,12,22,16,1
R234,58E_e,40,27,19,37,15,12,15,24,16,1
R235,58E_e,35,24,19,42,21,35,18,20,16,1
R236,58E_e,42,28,19,54,27,23,12,29,16,1
R237,58E_e,36,22,19,46,17,7,16,11,16,1
R238,58E_e,41,24,23,47,37,23,11,20,16,1
R239,58E_e,48,21,15,44,16,40,12,20,16,1
R240,58E_e,38,26,27,43,31,12,12,20,16,1
R241,58E_e,36,25,22,54,18,14,13,11,16,1
R242,58E_e,38,26,23,30,16,23,19,33,16,1
R243,58E_n,43,15,25,45,16,13,23,28,16,2
R244,58E_n,44,27,23,43,19,11,22,29,16,2
R245,58E_n,53,27,19,45,23,19,17,16,16,2
R246,58E_n,38,27,23,44,17,6,19,55,16,2
R247,58E_n,38,14,17,39,16,12,18,28,16,2
R248,58E_n,44,24,23,44,21,15,13,29,16,2
R249,58E_n,47,21,21,37,22,13,14,13,16,2
R250,58E_n,42,18,15,41,16,12,17,13,16,2
R251,58E_n,43,18,15,42,20,14,18,14,16,2
R252,58E_n,40,27,23,47,16,18,11,29,16,2
R253,58E_n,42,28,19,58,21,13,11,33,16,2
R254,58E_n,45,20,19,45,13,18,16,26,16,2
R255,58E_n,42,24,23,45,21,14,22,31,16,2
R256,58E_n,39,27,23,47,22,17,11,29,16,2
R257,58E_n,42,20,29,50,21,24,12,29,16,2
R258,58E_n,40,28,11,45,17,11,13,22,16,2
R259,58E_n,40,28,17,46,21,4,14,29,16,2
R260,58E_n,38,27,23,43,27,11,22,55,16,2
R261,58E_n,28,23,23,44,18,17,16,26,16,2
R262,58E_n,42,24,17,42,16,18,16,14,16,2
R263,58E_n,14,22,24,43,18,17,14,19,16,2
R264,58E_n,42,28,19,43,17,13,11,29,16,2
R265,58E_n,43,27,17,39,33,19,22,22,16,2
R266,58E_n,42,27,29,49,19,18,12,17,16,2
R267,58E_n,39,27,31,41,16,14,20,29,16,2
R268,58E_n,43,27,25,42,16,14,18,19,16,2
R269,58E_n,44,28,13,53,16,18,13,30,16,2
R270,58E_w,48,30,23,34,17,11,17,14,16,1
R271,58E_w,47,24,25,47,14,12,28,27,16,1
R272,58E_w,49,11,23,48,19,23,22,28,16,1
R273,58E_w,44,39,23,41,24,20,22,11,16,1
R274,58E_w,41,28,27,42,19,23,22,17,16,1
R275,58E_w,44,24,17,41,26,12,18,26,16,1
R276,58E_w,40,26,23,39,17,2,23,17,16,1
R277,58E_w,48,27,15,42,24,11,13,24,16,1
R278,59_e,43,26,25,51,19,5,18,17,37,2
R279,59_e,40,28,17,43,35,27,15,20,37,2
R280,59_e,45,20,23,45,19,16,19,17,37,2
R281,59_e,45,20,23,44,17,16,19,17,37,2
R282,59_e,38,25,21,45,5,14,15,10,37,2
R283,59_e,45,27,23,49,36,15,18,22,37,2
R284,59_e,45,27,27,43,17,18,11,28,37,2
R285,59_n,45,20,23,37,21,16,22,28,33,2
R286,59_n,40,27,19,45,21,12,23,47,33,2
R287,59_n,36,15,23,45,17,21,23,21,33,2
R288,59_n,34,11,25,48,17,3,16,30,33,2
R289,59_n,44,25,22,61,19,21,20,17,33,2
R290,59_n,36,27,19,47,19,20,18,16,33,2
R291,59_n,41,21,27,47,17,22,8,14,33,2
R292,59_n,45,24,23,50,32,20,23,28,33,2
R293,59_n,33,20,25,46,32,37,23,57,33,2
R294,59_n,45,28,25,48,15,10,22,23,33,2
R295,59_n,45,20,23,50,25,16,22,32,33,2
R296,59_n,45,28,17,49,16,7,22,20,33,2
R297,59_n,44,25,25,45,19,20,19,21,33,2
R298,59_n,36,25,31,40,24,21,23,18,33,2
R299,59_n,32,24,27,36,33,4,14,27,33,2
R300,59_n,31,28,23,37,20,15,13,28,33,2
R301,59_n,45,20,23,48,21,15,13,13,33,2
R302,59_n,36,27,19,39,21,20,17,25,33,2
R303,59_n,36,35,19,46,20,12,18,10,33,2
R304,59_n,25,18,25,46,19,15,14,10,33,2
R305,59_s,39,27,15,44,23,5,17,10,41,1
R306,59_s,44,21,13,46,17,13,18,27,41,1
R307,59_s,45,23,17,46,27,17,18,11,41,1
R308,59_s,38,20,7,47,17,12,23,11,41,1
R309,59_s,50,26,32,42,19,23,13,22,41,1
R310,59_s,45,23,21,50,12,18,21,31,41,1
R311,59_s,43,22,25,49,23,19,13,10,41,1
R312,59_s,37,20,13,44,14,6,23,23,41,1
R313,59_s,31,17,21,44,24,10,22,29,41,1
R314,59_s,43,31,31,54,17,9,23,28,41,1
R315,59_s,44,20,27,48,25,20,17,22,41,1
R316,59_s,38,27,23,44,23,11,17,14,41,1
R317,59_s,40,27,15,44,23,5,15,10,41,1
R318,59_s,49,22,13,50,20,12,12,12,41,1
R319,59_s,21,28,19,36,25,12,12,26,41,1
R320,59_s,41,20,8,40,24,37,17,28,41,1
R321,59_s,44,20,27,40,17,12,17,12,41,1
R322,60D_e,45,24,27,44,18,17,23,27,23,2
R323,60D_e,43,21,33,43,19,6,30,21,23,2
R324,60D_e,36,24,25,48,31,14,17,14,23,2
R325,60D_e,41,14,19,40,21,10,12,16,23,2
R326,60D_e,41,25,23,43,17,14,11,22,23,2
R327,60D_e,35,14,25,47,21,24,16,20,23,2
R328,60D_e,41,1,25,42,19,14,12,29,23,2
R329,60D_e,41,20,19,40,31,23,19,22,23,2
R330,60D_e,63,25,29,40,20,12,17,10,23,2
R331,60D_e,59,24,29,45,18,13,14,29,23,2
R332,60D_e,46,24,27,44,18,5,17,44,23,2
R333,60D_e,46,26,29,44,23,25,15,22,23,2
R334,60D_e,42,24,19,46,28,10,17,44,23,2
R335,60D_e,37,23,25,45,16,17,17,47,23,2
R336,60D_e,38,24,29,40,18,20,7,9,23,2
R337,60D_e,28,21,27,39,19,6,23,30,23,2
R338,60D_n,36,26,9,40,16,13,17,22,23,2
R339,60D_n,38,22,29,28,26,18,14,16,23,2
R340,60D_n,46,24,17,45,24,13,19,30,23,2
R341,60D_n,39,22,23,41,24,10,12,18,23,2
R342,60D_n,29,26,25,47,16,13,27,45,23,2
R343,60D_n,37,15,27,43,23,6,14,22,23,2
R344,60D_n,46,24,17,63,21,13,19,14,23,2
R345,60D_n,35,11,17,45,21,5,17,11,23,2
R346,60D_n,48,26,17,42,26,25,27,46,23,2
R347,60D_n,42,21,17,44,18,26,12,46,23,2
R348,60D_n,46,24,17,64,16,13,19,32,23,2
R349,60D_n,51,24,38,43,18,7,17,11,23,2
R350,60D_s,36,21,23,28,15,15,16,11,23,2
R351,60D_s,36,28,17,47,17,19,18,45,23,2
R352,60D_s,42,19,21,42,33,27,11,30,23,2
R353,60D_s,37,21,23,44,33,24,18,30,23,2
R354,60D_s,27,14,17,50,21,5,14,32,23,2
R355,60D_s,36,21,23,48,15,15,15,11,23,2
R356,60D_s,43,26,17,45,13,14,21,11,23,2
R357,60D_s,39,23,25,40,17,12,18,10,23,2
R358,60D_s,46,15,19,40,19,17,36,10,23,2
R359,60D_s,37,20,17,42,33,19,11,23,23,2
R360,60D_s,40,28,13,39,27,14,14,11,23,2
R361,60D_s,39,15,17,42,22,12,19,37,23,2
R362,60D_s,37,21,25,39,16,12,14,31,23,2
R363,60D_s,40,22,25,51,21,22,21,11,23,2
R364,60D_s,42,20,17,64,21,14,27,23,23,2
R365,60D_s,36,26,21,41,29,19,17,45,23,2
R366,60D_s,37,29,23,41,15,14,13,26,23,2
R367,61A_e,42,24,27,40,16,23,14,27,5,2
R368,61A_e,41,22,37,45,16,15,14,17,5,2
R369,61A_e,42,27,38,49,15,10,12,30,5,2
R370,61A_e,67,23,15,38,23,27,17,8,5,2
R371,61A_e,42,23,27,38,20,23,16,27,5,2
R372,61A_e,41,22,37,39,15,23,14,27,5,2
R373,61A_e,31,24,27,37,20,12,12,28,5,2
R374,61A_e,44,25,31,46,16,17,17,57,5,2
R375,61A_e,42,19,27,37,26,23,13,28,5,2
R376,61A_e,45,22,37,70,37,15,24,17,5,2
R377,61A_e,44,25,13,73,24,27,14,57,5,2
R378,61A_n,53,25,29,45,27,17,23,12,5,2
R379,61A_n,38,20,27,44,39,17,18,47,5,2
R380,61A_n,41,28,23,54,17,10,12,12,5,2
R381,61A_n,46,21,25,39,18,20,8,30,5,2
R382,61A_n,40,24,23,55,38,12,12,12,5,2
R383,61A_n,31,21,19,54,26,15,13,10,5,2
R384,61A_n,39,24,27,54,24,18,17,30,5,2
R385,61A_n,42,21,19,54,27,11,17,18,5,2
R386,61A_n,29,21,27,54,27,18,17,10,5,2
R387,61A_n,42,25,19,47,16,14,18,23,5,2
R388,61A_n,42,27,23,44,16,10,12,28,5,2
R389,61A_n,33,27,35,42,22,18,18,46,5,2
R390,61A_n,40,20,27,55,17,18,18,30,5,2
R391,61A_n,42,26,23,67,20,6,15,11,5,2
R392,61A_n,46,27,37,42,22,21,12,45,5,2
R393,61A_n,40,22,23,46,39,15,13,30,5,2
R394,61A_s,46,22,17,38,21,13,17,30,5,3
R395,61A_s,43,24,23,44,24,13,9,27,5,3
R396,61A_s,46,25,23,41,18,21,17,9,5,3
R397,61A_s,41,25,15,44,16,14,13,12,5,3
R398,61A_s,41,24,23,41,17,17,14,20,5,3
R399,61A_s,45,22,17,44,14,13,18,19,5,3
R400,61A_s,41,26,23,38,19,23,16,17,5,3
R401,61A_s,31,28,23,50,16,31,12,11,5,3
R402,61A_s,41,25,17,47,17,13,16,13,5,3
R403,61A_s,43,26,23,43,26,23,17,27,5,3
R404,61A_s,36,24,25,43,31,14,17,30,5,3
R405,61A_s,46,27,23,91,24,21,12,30,5,3
R406,61A_s,33,22,33,44,19,17,24,26,5,3
R407,61A_s,45,22,7,42,22,21,13,10,5,3
R408,61B_e,30,22,29,40,17,6,16,10,37,2
R409,61B_e,40,24,35,38,19,19,10,17,37,2
R410,61B_e,30,29,19,49,16,25,22,32,37,2
R411,61B_e,31,21,29,41,23,24,21,20,37,2
R412,61B_e,44,29,9,42,15,25,19,17,37,2
R413,61B_e,33,24,29,40,19,34,15,22,37,2
R414,61B_e,43,23,29,41,19,34,16,10,37,2
R415,61B_e,43,26,29,47,17,6,16,10,37,2
R416,61B_n,42,17,25,45,24,13,23,9,23,1
R417,61B_n,42,24,23,49,16,12,14,11,23,1
R418,61B_n,42,22,23,47,16,10,8,10,23,1
R419,61B_n,39,26,13,38,15,14,18,22,23,1
R420,61B_n,39,21,19,42,16,11,10,8,23,1
R421,61B_n,38,17,23,38,32,10,23,36,23,1
R422,61B_n,42,25,23,41,21,10,17,10,23,1
R423,61B_n,31,11,23,45,19,15,17,10,23,1
R424,61B_n,41,25,19,40,24,10,9,11,23,1
R425,61B_n,41,11,25,42,17,23,12,24,23,1
R426,61B_n,41,20,25,45,17,13,14,32,23,1
R427,61B_n,33,26,23,45,19,10,8,11,23,1
R428,61B_n,41,25,23,41,24,13,18,18,23,1
R429,61B_n,7,17,21,56,15,14,20,10,23,1
R430,61B_n,58,19,17,48,28,13,13,22,23,1
R431,61B_n,43,25,27,49,18,10,20,27,23,1
R432,61B_n,47,23,23,43,24,10,14,12,23,1
R433,61B_n,43,25,14,41,17,1,17,35,23,1
R434,61B_n,42,26,24,41,16,14,8,14,23,1
R435,61B_n,37,20,19,23,21,10,9,11,23,1
R436,61B_n,41,19,15,37,14,10,14,33,23,1
R437,61B_s,46,24,19,43,24,21,17,33,23,2
R438,61B_s,47,25,19,45,22,31,21,11,23,2
R439,61B_s,36,21,17,41,20,17,17,20,23,2
R440,61B_s,39,24,17,42,34,17,16,18,23,2
R441,61B_s,43,21,21,43,17,12,16,10,23,2
R442,61B_s,47,20,13,41,18,17,19,13,23,2
R443,61B_s,24,23,20,46,17,17,16,22,23,2
R444,61B_s,39,11,19,42,16,12,18,33,23,2
R445,61B_s,40,20,15,40,20,12,17,17,23,2
R446,61B_s,38,18,33,44,15,17,14,19,23,2
R447,61B_s,40,28,25,41,20,13,16,29,23,2
R448,61B_s,38,23,19,41,16,18,12,58,23,2
R449,61B_s,42,11,19,39,18,12,15,12,23,2
R450,61B_s,40,28,33,42,21,17,16,30,23,2
R451,61B_s,48,14,25,42,16,12,15,36,23,2
R452,61B_s,44,22,19,48,24,11,11,18,23,2
R453,61B_s,43,25,13,48,27,5,17,29,23,2
R454,61B_s,48,20,19,44,27,12,19,22,23,2
R455,61B_s,46,20,25,41,18,24,11,11,23,2
R456,61B_s,46,20,13,41,29,13,19,40,23,2
R457,61B_s,48,11,7,40,17,17,17,27,23,2
R458,61B_s,46,26,13,34,25,12,17,41,23,2
R459,61B_s,48,20,7,46,23,24,19,25,23,2
R460,61B_s,42,21,33,33,19,17,12,25,23,2
R461,61B_s,48,22,9,62,18,21,17,12,23,2
R462,61B_s,38,21,33,68,16,17,18,11,23,2
R463,61B_s,42,11,17,44,18,17,18,20,23,2
