Ri,Enclosure,HL,IR,Locus,Nr 52.2,Locus,Nr 52.4,Locus,Nr 52.7,Locus,Nr 52.11,Locus,Nr 60.2,Locus,Nr 60.5,Locus,Nr 60.11,Locus,Nr 60.34
R232,58E_e,0.1236211779,0.0553129085,284,286,230,258,240,282,390,398,325,333,220,224,427,427,290,292
R233,58E_e,0.3706899629,0.3146694714,310,312,252,252,274,278,406,418,333,333,220,242,427,427,220,244
R234,58E_e,0.3743475206,0.3216795151,286,308,252,262,254,266,384,384,331,331,224,224,431,433,236,248
R235,58E_e,0.1267455812,0.064626393,282,298,246,256,256,266,394,394,337,343,220,270,429,439,222,240
R236,58E_e,0,-0.075171333,282,312,258,264,254,266,402,418,333,355,220,246,419,427,244,258
R237,58E_e,0.1276459637,0.0475592115,286,300,246,252,262,266,394,402,331,335,210,214,427,435,222,222
R238,58E_e,0,-0.0546329761,282,310,246,256,266,274,400,404,355,375,242,246,417,425,220,240
R239,58E_e,0.2512671416,0.1835001394,290,324,228,250,242,258,386,398,331,333,224,280,427,427,240,240
R240,58E_e,0.1276459637,0.0635552388,286,304,256,260,262,282,386,396,355,363,202,224,421,427,240,240
R241,58E_e,0.1276459637,0.0607934195,290,300,252,258,250,272,416,418,333,337,204,228,423,429,222,222
R242,58E_e,0.2491502093,0.18357461,300,304,252,260,266,274,370,370,333,333,224,246,431,441,258,266
R243,58E_n,0.1251973113,0.0636899231,312,314,236,238,254,278,398,400,327,333,226,226,419,449,238,256
R244,58E_n,0.2476762823,0.1972724531,298,316,236,262,274,274,394,396,333,339,222,222,439,447,256,258
R245,58E_n,0.1224789711,0.0637573964,290,334,230,262,266,266,398,400,339,347,222,238,423,437,222,232
R246,58E_n,0.2519063668,0.1953640446,304,304,262,262,254,274,382,398,331,335,204,212,429,441,236,310
R247,58E_n,0.2514097382,0.1913329679,296,304,236,236,242,262,388,388,327,333,218,224,427,439,246,256
R248,58E_n,0,-0.0908245609,312,316,230,256,266,274,396,398,333,343,226,230,419,429,252,258
R249,58E_n,0.1267455812,0.0474269362,304,322,230,250,254,270,384,384,333,345,224,226,423,431,220,226
R250,58E_n,0.5032100341,0.4592712639,298,312,236,244,240,258,392,392,327,333,224,224,437,437,226,226
R251,58E_n,0.1267455812,0.0509609671,272,314,234,244,250,258,394,394,333,341,224,228,427,439,222,228
R252,58E_n,0.3780127228,0.3285506465,296,308,230,262,250,274,404,404,327,333,228,236,425,425,258,258
R253,58E_n,0,-0.060572083,308,312,246,264,250,266,420,426,335,343,222,226,419,425,254,266
R254,58E_n,0.2500505918,0.1970505597,304,318,230,248,254,266,378,400,327,327,228,236,427,435,252,252
R255,58E_n,0.1276459637,0.0736373553,298,312,244,256,258,274,398,400,335,343,222,228,421,447,262,262
R256,58E_n,0.1236211779,0.061193588,298,306,260,262,266,274,402,404,333,345,228,234,425,425,256,258
R257,58E_n,0,-0.0786867765,290,312,230,248,274,286,402,410,333,343,236,248,419,427,234,258
R258,58E_n,0.376870516,0.3376544838,288,308,256,264,250,250,400,400,327,335,216,222,419,429,244,244
R259,58E_n,0.3795888562,0.3292301111,284,308,256,264,250,262,402,402,333,343,208,208,425,431,258,258
R260,58E_n,0.3716291804,0.3359934969,298,304,256,262,274,274,396,396,355,355,220,222,429,447,308,310
R261,58E_n,0.2500505918,0.20381627,282,284,222,254,254,274,396,398,337,337,226,234,427,435,252,252
R262,58E_n,0.2512671416,0.1926762947,308,312,228,256,242,262,388,394,331,333,230,236,435,435,228,228
R263,58E_n,0.1276459637,0.0742285926,246,256,248,252,258,276,394,396,327,337,208,234,429,431,238,238
R264,58E_n,0.2491502093,0.1965232742,308,312,246,264,250,266,396,396,335,335,222,226,419,425,256,258
R265,58E_n,0.1276459637,0.075294815,286,314,260,262,258,262,366,388,341,367,236,238,419,447,244,244
R266,58E_n,0.2503667591,0.189215684,290,312,230,262,266,286,408,408,329,339,208,236,427,427,222,234
R267,58E_n,0,-0.0710776394,290,306,254,262,270,290,390,392,331,333,222,228,419,443,256,258
R268,58E_n,0.3743475206,0.3225108901,272,314,258,262,250,278,394,394,333,333,228,228,419,439,228,238
R269,58E_n,0,-0.0677460163,296,316,244,264,250,254,406,416,331,333,228,236,425,429,258,260
R270,58E_w,0.2519428925,0.2025734334,304,324,252,268,246,274,378,378,329,335,222,222,427,437,220,228
R271,58E_w,0,-0.0574192361,312,322,254,256,274,278,392,404,327,329,214,224,449,459,252,254
R272,58E_w,0.124664157,0.0658486088,324,326,230,230,242,274,386,406,327,339,224,246,429,447,254,256
R273,58E_w,0.254391545,0.1940724883,306,316,230,286,258,274,392,392,327,349,222,240,429,447,222,222
R274,58E_w,0.1276459637,0.0775166836,296,310,256,264,258,282,388,394,327,339,222,246,439,447,234,234
R275,58E_w,0.1267455812,0.0546886393,312,316,250,256,242,262,392,392,331,353,216,224,427,439,242,252
R276,58E_w,0.252843275,0.1851173306,306,308,256,260,262,274,386,388,333,335,204,204,429,449,234,234
R277,58E_w,0.1224789711,0.0625399258,286,324,248,262,258,258,388,394,333,349,210,222,421,429,242,248
R278,59_e,0.1251973113,0.0602468516,292,314,248,260,258,278,408,412,333,339,210,210,427,439,226,234
R279,59_e,0.1276459637,0.0711208464,304,308,254,264,246,262,386,396,323,371,218,254,427,433,240,240
R280,59_e,0,-0.077290539,294,318,244,248,266,274,394,400,331,339,220,232,431,441,220,234
R281,59_e,0,-0.0816909351,294,318,244,248,266,274,394,398,331,335,220,232,431,441,220,234
R282,59_e,0.2512671416,0.1939074282,286,304,248,258,266,270,396,400,303,311,224,228,433,433,220,220
R283,59_e,0.1276459637,0.0675216006,316,318,230,262,242,274,398,408,351,373,226,230,429,439,244,244
R284,59_e,0.1251973113,0.0640274837,290,318,242,262,262,282,386,396,331,335,236,236,419,425,254,256
R285,59_n,0.1267455812,0.0697307285,290,318,244,248,262,274,384,384,341,343,230,232,431,447,254,256
R286,59_n,0,-0.0728521262,274,308,248,262,242,266,398,400,335,343,214,224,427,449,292,294
R287,59_n,0.1251973113,0.0620676407,290,300,234,238,270,274,398,400,333,335,242,242,429,449,220,242
R288,59_n,0.2471431281,0.2104314354,290,296,230,230,278,278,382,406,321,335,202,206,429,435,248,260
R289,59_n,0,-0.0595937319,288,316,244,258,252,272,404,432,331,339,224,242,429,443,220,234
R290,59_n,0,-0.0601257571,290,300,244,262,258,266,382,404,331,339,236,240,435,439,224,232
R291,59_n,0.1236211779,0.0678591491,294,310,230,250,240,282,396,404,331,335,230,244,419,419,220,228
R292,59_n,0,-0.0555286008,316,318,248,256,242,274,384,410,331,365,214,240,429,449,254,256
R293,59_n,0.1267455812,0.0846094275,290,294,230,248,242,278,402,402,331,365,244,274,437,449,312,314
R294,59_n,0.376796173,0.3386963392,304,318,258,264,242,278,406,406,331,331,218,220,433,447,246,246
R295,59_n,0.1251973113,0.0748340166,290,318,244,248,262,274,384,410,341,351,232,232,429,447,250,264
R296,59_n,0.1236211779,0.0748315976,316,318,244,264,242,262,384,408,325,333,212,214,447,447,226,240
R297,59_n,0.1267455812,0.0735758643,300,316,248,258,242,278,400,400,335,339,238,240,421,441,220,242
R298,59_n,0.1276459637,0.0713226185,298,300,230,258,242,290,384,390,333,349,210,242,439,449,236,236
R299,59_n,0.252439521,0.2142773219,292,292,248,256,242,282,366,382,331,367,208,208,421,431,208,254
R300,59_n,0.2503667591,0.2006803871,286,290,244,264,242,274,384,384,331,341,220,230,429,429,254,256
R301,59_n,0.2482853349,0.1980934538,286,318,248,248,242,274,382,406,331,343,220,230,429,429,224,226
R302,59_n,0.1267455812,0.0626810366,298,300,248,262,242,266,388,388,331,343,228,240,419,437,222,250
R303,59_n,0.1276459637,0.0488873162,288,300,230,278,246,266,386,402,333,341,222,224,419,439,220,220
R304,59_n,0.3816337547,0.3297146017,278,278,230,244,246,278,402,402,331,339,214,230,419,431,220,220
R305,59_s,0.1276459637,0.057912286,302,306,248,262,254,258,392,398,327,347,204,210,435,437,220,220
R306,59_s,0,-0.0753317756,312,316,236,250,242,254,400,402,331,335,224,226,437,439,244,254
R307,59_s,0.1276459637,0.055521161,316,318,230,254,250,262,392,402,327,355,220,234,431,439,222,222
R308,59_s,0.1224789711,0.0572351565,286,304,236,248,242,242,394,404,331,335,220,224,437,449,218,222
R309,59_s,0,-0.0746335104,304,328,248,260,274,292,376,394,331,339,238,246,427,429,220,244
R310,59_s,0.1224046281,0.0894886447,290,318,242,254,246,270,406,410,325,325,210,236,429,445,250,262
R311,59_s,0.1276459637,0.0591498919,302,314,248,252,254,278,390,408,343,347,210,238,419,429,220,220
R312,59_s,0.2501249348,0.2037643832,300,302,230,248,254,254,374,398,321,329,204,212,437,449,246,246
R313,59_s,0.2498614682,0.2038690106,286,290,242,242,262,270,392,398,329,349,220,220,441,447,256,258
R314,59_s,0,-0.0489744512,304,314,252,270,278,290,392,418,327,335,214,218,425,449,254,256
R315,59_s,0.2501249348,0.2044468549,284,316,230,248,282,282,390,406,335,351,212,240,427,437,244,244
R316,59_s,0.1276459637,0.0613162087,290,304,230,262,242,274,394,398,331,347,204,222,423,437,228,228
R317,59_s,0.1236211779,0.0605010664,302,308,248,262,254,258,392,398,327,347,204,210,433,433,218,220
R318,59_s,0.1224789711,0.0659821991,304,326,248,252,254,254,398,410,327,341,212,224,417,427,212,224
R319,59_s,0.1267455812,0.0715969568,262,270,248,264,262,266,382,382,341,351,218,224,423,427,246,252
R320,59_s,0,-0.0460928388,290,310,230,248,230,244,388,390,347,349,246,274,423,437,248,256
R321,59_s,0.253987791,0.1953017567,316,316,236,248,246,282,390,390,331,335,212,224,427,437,218,224
R322,60D_e,0.254391545,0.196923619,308,318,248,256,266,282,398,398,331,337,210,234,435,449,254,254
R323,60D_e,0.2476019393,0.2127135638,284,314,230,250,282,294,388,396,339,339,212,212,451,463,222,242
R324,60D_e,0.1272422098,0.056213637,300,300,254,256,242,278,396,406,333,363,224,228,425,437,220,228
R325,60D_e,0.124664157,0.065648079,304,310,236,236,238,266,378,390,341,343,210,220,419,427,220,232
R326,60D_e,0.1236211779,0.06638419,300,310,250,258,236,274,388,396,327,335,204,228,425,425,220,244
R327,60D_e,0,-0.0670696556,296,298,230,236,240,278,394,404,333,343,228,248,425,435,220,240
R328,60D_e,0.124664157,0.0672512122,300,310,210,210,274,278,388,394,335,339,204,228,419,427,236,258
R329,60D_e,0.3725295629,0.3379868677,308,310,242,248,266,266,376,390,363,363,230,246,419,441,244,244
R330,60D_e,0.3795888562,0.3242912563,332,354,248,258,262,286,390,390,327,341,224,224,423,437,220,220
R331,60D_e,0,-0.0736258711,308,346,242,256,266,286,390,400,327,337,220,226,427,431,244,258
R332,60D_e,0.1251973113,0.0627413536,308,320,248,256,262,282,390,398,327,337,210,210,427,437,286,288
R333,60D_e,0.2503667591,0.2066497809,290,320,238,260,250,286,398,398,333,347,204,250,433,433,242,244
R334,60D_e,0.1251973113,0.070325812,302,312,242,256,262,266,390,402,347,357,220,220,421,437,286,288
R335,60D_e,0,-0.0764263821,284,302,236,254,250,278,396,400,327,333,224,234,427,437,222,294
R336,60D_e,0.1267455812,0.078171501,300,304,254,256,246,286,390,390,335,337,220,240,413,417,214,218
R337,60D_e,0.5015897304,0.472682703,284,284,230,250,262,282,388,388,339,339,212,212,445,449,258,260
R338,60D_n,0.376870516,0.3280099295,278,300,252,260,246,246,390,390,329,333,208,226,419,437,244,244
R339,60D_n,0,-0.0577024799,300,304,238,252,258,286,352,366,341,353,226,236,427,431,226,232
R340,60D_n,0,-0.072309763,302,320,230,256,250,262,398,400,337,349,220,226,427,441,256,260
R341,60D_n,0,-0.0794876087,290,306,230,252,270,274,390,392,337,349,210,220,421,427,222,236
R342,60D_n,0.1272422098,0.0711898345,286,286,230,260,274,278,390,404,327,333,204,226,441,457,204,290
R343,60D_n,0,-0.0664596613,300,302,230,238,258,282,394,396,335,347,208,212,425,431,236,244
R344,60D_n,0.1276459637,0.0795566665,278,320,246,256,250,262,406,436,337,343,212,226,421,441,228,228
R345,60D_n,0.7507754477,0.7293025413,298,298,230,230,250,262,394,400,343,343,210,210,437,437,222,222
R346,60D_n,0.1224789711,0.0539320283,304,324,238,260,262,262,392,394,333,353,226,250,427,457,290,292
R347,60D_n,0.2471431281,0.1764971203,304,312,250,250,262,262,396,398,333,337,234,252,419,427,222,292
R348,60D_n,0,-0.0765737119,302,320,230,256,250,262,400,438,327,333,220,226,427,441,262,264
R349,60D_n,0.3747147488,0.3354197879,278,330,256,256,276,304,394,396,337,337,208,214,429,437,222,222
R350,60D_s,0.1276459637,0.0622862285,290,300,230,250,246,274,352,366,327,331,210,230,425,435,222,222
R351,60D_s,0.1272422098,0.0630892299,300,300,250,264,246,262,402,404,333,335,234,238,425,439,288,290
R352,60D_s,0,-0.061122944,278,312,230,246,262,270,388,394,343,367,232,254,419,425,248,260
R353,60D_s,0,-0.0547175995,300,302,238,250,250,274,390,398,347,367,230,248,431,439,258,260
R354,60D_s,0.2488184891,0.2070591246,280,282,218,236,254,262,382,410,335,343,210,210,431,431,252,264
R355,60D_s,0.1267455812,0.0585430626,290,300,230,250,246,274,406,406,327,331,210,230,425,433,220,222
R356,60D_s,0.3725295629,0.3218712555,308,314,246,260,262,262,392,400,327,327,210,228,419,445,222,222
R357,60D_s,0,-0.0779128209,300,306,244,254,254,278,388,390,331,335,210,224,437,439,216,220
R358,60D_s,0.376870516,0.3317841412,312,320,230,238,266,266,390,390,327,339,212,234,451,475,220,220
R359,60D_s,0.1267455812,0.0632100429,278,302,230,248,246,262,394,394,343,367,230,238,419,425,228,246
R360,60D_s,0.1276459637,0.0599742838,288,308,238,264,250,254,360,388,353,355,224,228,427,431,222,222
R361,60D_s,0.1251973113,0.0432023388,298,306,230,238,254,262,392,394,333,345,224,224,419,441,254,274
R362,60D_s,0,-0.0696710585,286,302,230,250,258,278,362,388,325,333,212,224,415,431,254,262
R363,60D_s,0.2523101207,0.2047407371,304,308,252,252,246,278,318,412,341,343,220,244,425,445,222,222
R364,60D_s,0.1276459637,0.0648520767,304,312,230,248,246,262,436,438,335,343,210,228,419,457,246,246
R365,60D_s,0.1267455812,0.0701815321,286,300,238,260,254,270,392,392,331,359,236,238,425,437,254,290
R366,60D_s,0.1224046281,0.0648336131,300,302,230,266,246,274,388,392,331,331,204,228,421,429,248,252
R367,61A_e,0.1276459637,0.0504892305,290,312,230,256,254,282,374,390,331,333,234,246,429,431,254,254
R368,61A_e,0.2523101207,0.1820632788,308,310,252,252,262,302,398,400,331,333,220,230,429,431,234,234
R369,61A_e,0.2491502093,0.1962960804,302,312,250,262,274,304,408,408,331,331,204,220,419,427,228,260
R370,61A_e,0.1224789711,0.0776565749,330,362,230,254,258,258,360,386,331,347,214,254,427,437,214,216
R371,61A_e,0,-0.0648431218,290,312,230,254,254,282,374,386,331,341,234,246,429,435,234,254
R372,61A_e,0.376796173,0.3318362017,290,310,230,252,282,302,388,388,331,331,230,246,429,431,254,254
R373,61A_e,0.3760606989,0.3252821034,290,290,242,256,254,282,374,384,331,341,224,224,427,427,236,256
R374,61A_e,0,-0.0661384741,298,316,248,258,258,290,374,402,331,333,214,234,431,437,312,314
R375,61A_e,0.1251973113,0.0801405152,292,312,232,246,254,282,374,384,351,353,246,246,427,429,254,256
R376,61A_e,0.1276459637,0.0769997508,316,318,246,252,262,302,398,450,353,375,220,230,431,451,234,234
R377,61A_e,0.2461001489,0.2053658176,298,316,248,258,254,254,454,456,347,349,220,254,431,431,240,314
R378,61A_n,0.1276459637,0.0762092195,290,334,230,258,238,286,396,400,343,355,226,234,429,449,224,224
R379,61A_n,0.1267455812,0.0685186567,286,304,244,248,266,282,398,398,331,379,228,234,419,439,292,294
R380,61A_n,0.1236211779,0.0518789762,290,310,250,264,266,274,402,418,331,335,214,220,427,427,220,224
R381,61A_n,0.1236211779,0.0743069493,308,320,244,250,270,278,376,388,335,337,210,240,419,419,210,260
R382,61A_n,0,-0.0714534082,290,308,248,256,242,274,394,420,349,377,204,224,417,427,220,224
R383,61A_n,0.5009883224,0.4597927911,290,290,242,250,266,266,400,418,335,353,214,230,429,429,220,220
R384,61A_n,0,-0.0462267272,290,306,248,256,242,282,416,418,327,349,204,236,417,437,254,260
R385,61A_n,0.2501249348,0.1940300327,306,312,248,250,266,266,402,418,335,355,220,222,427,437,236,236
R386,61A_n,0,-0.0662125516,284,286,248,250,266,282,382,418,331,355,220,236,427,437,216,220
R387,61A_n,0.1276459637,0.0422968715,310,312,244,258,254,266,386,404,331,333,224,228,427,439,246,246
R388,61A_n,0.1224046281,0.0310047125,304,312,230,262,266,274,390,398,333,333,210,220,425,427,246,256
R389,61A_n,0.1272422098,0.0789528968,294,294,230,262,274,298,386,394,327,345,204,236,419,439,290,292
R390,61A_n,0,-0.07330404,306,308,230,248,240,282,384,420,333,335,204,236,427,439,254,260
R391,61A_n,0.254391545,0.1893421414,306,312,230,260,254,274,444,444,333,341,208,212,425,433,222,222
R392,61A_n,0,-0.0641679617,310,320,260,262,282,302,386,394,343,345,224,242,419,427,258,290
R393,61A_n,0,-0.083578669,304,308,248,252,266,274,394,402,353,379,224,230,427,429,258,260
R394,61A_s,0.2492245523,0.1839804686,300,320,242,252,262,262,386,386,335,343,224,226,427,437,246,260
R395,61A_s,0.1267455812,0.0698524238,292,314,252,256,266,274,398,398,343,349,220,226,407,421,252,254
R396,61A_s,0.1276459637,0.0555858134,310,320,252,258,262,274,386,392,333,337,226,242,423,437,218,218
R397,61A_s,0.1276459637,0.0513082155,298,310,252,258,250,258,392,398,331,333,210,228,419,429,224,224
R398,61A_s,0,-0.0985763749,308,310,250,256,258,274,390,392,333,335,220,234,423,431,220,240
R399,61A_s,0.124664157,0.0653006484,292,318,252,252,254,262,394,398,319,329,204,226,419,439,220,238
R400,61A_s,0.1267455812,0.0575763529,286,310,252,260,270,274,386,386,333,339,212,246,419,435,220,234
R401,61A_s,0.2512671416,0.1859570724,288,290,256,264,246,274,400,410,327,333,220,262,427,427,222,222
R402,61A_s,0,-0.0740947152,298,310,242,258,242,262,392,404,327,335,224,226,419,435,224,226
R403,61A_s,0.2476019393,0.2031912112,306,314,256,260,242,274,386,396,353,353,246,246,427,437,252,254
R404,61A_s,0.1224789711,0.0731719042,272,300,250,256,278,278,394,396,339,363,204,228,419,437,258,260
R405,61A_s,0.1276459637,0.063299757,310,320,250,262,262,274,418,492,339,349,224,242,419,427,260,260
R406,61A_s,0.1276459637,0.0619971445,286,294,248,252,254,294,386,398,333,339,224,234,437,451,252,252
R407,61A_s,0.499986403,0.4611967557,314,318,252,252,242,242,386,394,333,345,242,242,419,429,220,220
R408,61B_e,0.3816337547,0.3327450686,288,288,230,252,246,286,390,390,331,335,204,212,423,435,220,220
R409,61B_e,0,-0.0553062935,294,308,230,256,254,298,380,386,325,339,232,238,419,423,232,234
R410,61B_e,0.253987791,0.2028546515,288,288,250,266,262,266,408,408,331,333,232,250,443,447,234,264
R411,61B_e,0.3734826461,0.3396744447,288,290,250,250,266,286,390,392,337,347,248,248,445,445,222,240
R412,61B_e,0.2476019393,0.2085183359,288,316,242,266,242,246,324,394,331,331,250,250,431,441,222,234
R413,61B_e,0,-0.0583906409,288,294,230,256,254,286,380,390,331,339,250,268,419,433,240,244
R414,61B_e,0.254391545,0.1949464307,288,314,246,254,246,286,392,392,335,339,220,268,427,435,220,220
R415,61B_e,0.252843275,0.2007885519,288,314,254,260,266,286,392,404,325,335,212,212,419,435,220,220
R416,61B_n,0.252843275,0.1983744749,308,312,230,242,274,278,386,400,325,349,226,226,427,449,218,218
R417,61B_n,0.1276459637,0.046866659,286,312,246,256,246,274,400,408,327,333,210,224,425,431,222,222
R418,61B_n,0.2461001489,0.1832025092,290,312,230,252,274,274,392,404,327,333,214,220,419,419,214,220
R419,61B_n,0,-0.073619835,290,306,230,260,242,254,380,386,329,331,220,228,429,439,236,244
R420,61B_n,0.2512671416,0.1916812257,290,306,230,250,258,266,384,394,327,333,220,222,423,423,216,216
R421,61B_n,0,-0.0565093603,290,304,230,242,250,274,382,386,335,365,218,220,439,449,270,272
R422,61B_n,0,-0.0887487225,310,312,256,258,254,274,390,392,333,343,214,220,419,437,214,220
R423,61B_n,0.1276459637,0.057920696,288,290,224,230,266,274,390,400,325,339,224,230,423,437,220,220
R424,61B_n,0.254391545,0.1936119153,304,310,242,258,242,266,390,390,327,349,214,220,419,421,222,222
R425,61B_n,0.2491502093,0.1853477983,308,310,224,230,262,278,394,394,335,335,220,246,421,427,220,248
R426,61B_n,0.1224046281,0.0467887235,308,310,246,248,262,278,392,400,335,335,220,226,427,431,262,264
R427,61B_n,0.2512671416,0.1911546026,290,294,250,260,246,274,386,400,327,339,210,220,419,419,222,222
R428,61B_n,0.2523101207,0.2009065954,286,310,258,258,246,274,380,392,331,349,220,226,423,439,236,236
R429,61B_n,0.2519063668,0.2085830894,242,242,242,242,266,270,418,422,319,331,220,228,427,443,218,220
R430,61B_n,0.1236211779,0.0681265866,312,344,240,246,246,262,390,406,347,357,220,226,429,429,242,244
R431,61B_n,0,-0.0590764348,308,314,244,258,242,282,398,408,331,337,212,220,421,443,242,254
R432,61B_n,0,-0.077914342,308,322,230,254,246,274,386,396,327,349,210,220,427,431,222,224
R433,61B_n,0.2519428925,0.2075499015,280,314,246,258,246,256,392,392,333,335,202,202,421,437,266,270
R434,61B_n,0.3736717697,0.3229605412,290,312,248,260,264,276,384,392,333,333,222,228,419,419,228,228
R435,61B_n,0.2523101207,0.1885152475,300,302,248,248,250,266,354,356,333,343,214,220,419,421,222,222
R436,61B_n,0.1224046281,0.0741101775,286,310,230,246,254,258,380,384,329,329,208,220,417,431,262,266
R437,61B_s,0.1267455812,0.0675888119,316,320,236,256,258,266,396,396,331,349,224,242,419,437,264,266
R438,61B_s,0.1276459637,0.0659159164,308,322,230,258,250,266,388,400,335,345,238,262,433,445,222,222
R439,61B_s,0.3755640703,0.3217177434,298,300,230,250,246,262,392,392,333,341,234,234,437,437,238,240
R440,61B_s,0.1276459637,0.0472019687,290,306,250,256,254,262,392,394,333,369,224,234,419,435,236,236
R441,61B_s,0.1276459637,0.034533123,290,314,244,250,266,270,394,396,333,335,220,224,427,435,220,220
R442,61B_s,0,-0.0808132499,312,322,230,248,238,254,360,392,333,337,224,234,425,441,220,226
R443,61B_s,0.2508633877,0.2004447515,276,276,236,254,254,268,394,402,333,335,220,234,435,435,220,244
R444,61B_s,0.3766070495,0.3106336252,302,306,230,230,254,266,394,394,331,333,224,224,437,439,264,266
R445,61B_s,0.2503667591,0.1736253422,306,308,230,248,254,258,390,390,333,341,220,224,437,437,222,234
R446,61B_s,0.254391545,0.1882006851,290,304,230,244,262,294,398,398,327,331,220,234,427,431,238,238
R447,61B_s,0.4988690809,0.469057201,304,308,248,264,276,278,390,392,341,341,226,226,435,435,258,258
R448,61B_s,0.4952503583,0.4440458788,302,304,230,254,266,266,392,392,333,333,224,236,427,427,314,316
R449,61B_s,0.2514097382,0.175527008,310,312,230,230,254,266,388,388,333,337,220,224,425,433,220,224
R450,61B_s,0.2512671416,0.1963444356,304,308,248,264,278,294,390,394,333,343,226,234,435,435,260,260
R451,61B_s,0.1224046281,0.0540046346,322,324,230,236,238,278,390,394,333,333,220,224,425,433,264,272
R452,61B_s,0.254391545,0.1997635904,302,316,236,252,246,266,406,406,333,349,220,222,419,425,236,236
R453,61B_s,0.3725295629,0.338650025,312,314,242,258,254,254,378,406,355,355,206,210,427,437,258,258
R454,61B_s,0.1276459637,0.0754146327,314,324,236,248,238,266,386,398,353,355,214,224,435,441,244,244
R455,61B_s,0.254391545,0.1911455934,318,320,230,248,238,278,392,392,333,337,234,248,415,425,222,222
R456,61B_s,0.2501249348,0.1999293649,290,320,234,248,254,254,378,392,333,359,220,226,433,441,280,280
R457,61B_s,0.3790557019,0.3215247376,300,324,230,230,234,242,390,390,333,335,224,234,425,437,254,254
R458,61B_s,0.2492245523,0.2041122153,314,320,242,260,254,254,378,378,335,351,220,224,433,437,276,282
R459,61B_s,0.1251973113,0.0779791954,322,324,230,248,230,242,390,402,333,347,248,248,437,441,246,250
R460,61B_s,0.376796173,0.3317476628,304,312,248,250,254,294,376,376,339,339,224,234,425,427,250,250
R461,61B_s,0.1276459637,0.0745113268,304,324,248,252,238,246,432,434,333,337,234,242,425,437,224,224
R462,61B_s,0.1276459637,0.0526463333,302,304,244,250,246,294,434,446,331,333,220,234,427,439,222,222
R463,61B_s,0.49991206,0.4609217887,300,312,230,230,238,262,394,398,337,337,234,234,435,439,240,240
